Title,Code,Term,Description,Learning Outcomes,Module Content,Prerequisites,Lecturer
Computational and Statistical Methods for Research,BIOE70037,Autumn,"In this module, you will cover the basics of Python programming and statistical methods. The module is designed for MRes and MSc students from diverse backgrounds.","Upon successful completion of this module, you will be able to:Apply the underlying concepts of statistics: probability, random variablesAppraise the utility of mathematical models for extracting information from experimental dataAssess the statistical meaning of experimental dataEvaluate the appropriate models for analysing problems related to experimental datasetsAnalyze basic software problems and evaluate the best way to approach themEmploy Python to write, debug, compile, and run programs.Use Jupyter to perform appropriate statistical analysis on experimental dataCompare different data display approaches using Jupyter to find optimal ways to show data and results"," Statistics (t-tests, ANOVAs, power calculations, statistical power)Python programming (syntax, logic, functions, data import and export, arrays and data structures)Using Jupyter for statistical analysis and data visualisation ",N/A,Chiu Fan Lee
Computational Neuroscience,BIOE70013,Spring,"In this module, you will be introduced to the subject of Computational Neuroscience. Through discussion of general concepts, you will develop an appreciation of the role of computational and theoretical approaches to understanding the nervous system. You will be able to apply this understanding by developing code and using numerical tools to develop models of brain function and processes.","Upon successful completion of this module, you will be able to:Describe key concepts concerning the electrical properties underlying information processing in the nervous system, neural function and network operation.Relate how recorded physiological signals can help in understanding the function of these systems and evaluate engineering and statistical approaches used in the analysis of such data.Appraise the current level of development in the field of Computational Neuroscience.Demonstrate the relationship between behavioural control and underlying neuronal principles.Describe modelling techniques in neuroscience with a particular focus on simulation within MATLAB.Derive algorithms and quantities used in theoretical neuroscience.Construct code to simulate basic computational models."," Definition and Scope: What is Computational Neuroscience? Different approaches to modelling.Neuron models. Electrical properties of neurons: the cell membrane, integrate-and-fire and conductance-based neuron models, spike rate adaptation, refractoriness, phase-plane analysis of neuron model dynamics, the Hodgkin &amp; Huxley model.Signal Integration: synaptic integration, neuron computation, synaptic physiology, synaptic transmission (channels), synaptic models.Feedforward and Recurrent networks: the perceptron, multilayer networks, balanced network, ring model, rate-based network, spike-based network.Learning and Memory: synaptic plasticity (unsupervised (rate-based, LTP\/LTD, STDP) in primary sensory area, supervised learning in cerebellum, reinforcement learning in basal ganglia). ","Basic linear algebra: vector operations (vector sum, scalar product etc.), matrix and matrix-vector multiplication, matrix inversionBasic calculus: differentiation, integration, differential equations, stability analysis, phase plane analysis, bifurcation analysis, basic dynamical systems.Basics of probability theory: random variables, probabilities, probability distributions, joint, marginal and conditional probabilities, Gaussian distribution, stochastic processesBasics of Matlab programming: variables, conditional expressions (e.g. if-then-else), loops (e.g. for, while), functions, basic mathematical expressions (e.g. vector and matrix operations, trigonometric functions), basic graphics",Claudia Clopath
Computer Fundamentals and Programming 1,BIOE40002,"Spring,Summer","This module aims to:Instil the principles of digital logic design and computer fundamentals.Provide a basis for you to understand what happens inside digital computers and how they communicate with the real worldIllustrate how both digital computers and complex medical instrumentation are built up from simple logic circuit elements.Relate logic and digital systems to the fundamentals of computer programmingProvide the basic skills of programming in the ANSI C language and Matlab to&nbsp;To convey a sense of the professionalism required of programmers in order to write reliable C code for safety-critical applications, such as medicine.","At the end of this module you will be able to:Explain principles of digital logic, Boolean algebra and logic circuit design and describe how these principles relate to the key elements of a digital computerAnalyse the functions of simple digital systems using understanding of digital logic principlesDevelop and test logic designs using appropriate engineering toolsApply problem decomposition to be able to break down problems and express solutions as precise concrete actionsWrite well structured code to solve typical data handling problemsUse programming languages in a professional integrated development environment to be able to solve a complex Bioengineering problem &nbsp;"," This module will cover the following topics:Digital combinational logic.Digital sequential logic.The relationship between high-level compilers, assemblers and native machine code programs.Computer fundamentals.The concepts of programming and how these are executed in practice including an introduction to , expressions, standard functions and stacks.Exmples in&nbsp; relevant programming languages such as Python and C.Arrays, pointers and string library functions.Program design and strategies.An introduction to Matlab. ",N/A,"Mengxing Tang, Faraz Janan, Christopher Rowlands"
Design and Professional Practice 1,BIOE40003,"Summer,Autumn,Spring",The aims of this module are to:Introduce the principles of engineering design and develop your design skills through practice with a variety of design problems and using appropriate design tools and software.Develop your professional skills as a Bioengineer through meaningful practice and feedback.Provide you with an understanding of the breadth of the bioengineering field and to inspire you and enthuse you about you potential impact on society as a future engineer.To raise your awareness of the importance and value of ethics in engineering work.,Upon successful completion of this module you will be able to:Explain the engineering design process and use it to develop a design concept to solve a proposed problemUse appropriate engineering tools and softwares to develop and communicate design conceptsDiscuss and evaluate the suitability of different materials and manufacturing methods to realise a proposed design&nbsp;Communicate technical ideas clearly both in writing and orallyDiscuss the importance of ethics in engineering and give examples of how this impacts professional practiceUse feedback and reflective practice to improve your learning and future performance, This module will cover the following topics:The engineering design processDefining user needsGenerating ideas and developing design concepts including rapid prototypingCAD and other softwares for engineering designMaterials and manufacturing including practical workshop skillsCommunicating ideas effectivelyGiving effective feedback and using feedback to inform future learningEngineering EthicsReflective practice and its relevance in engineeringBioengineering applications and research - a current and future view ,N/A,Maria Parkes
Design and Professional Practice 2,BIOE50002,"Autumn,Spring","This module will build on the principles of engineering design and professional practice taught in the first year through application in a group design, make and test project.As part of the group project, students will:Tackle a real design problemDevelop their engineering design skills through practiceApply learning from other modules to a practical challengeBe exposed to the wider application of bioengineering in societyDevelop teamworking skills and be exposed to the challenges and benefits of collaboration","Upon successful completion of this module, you will be able to:Demonstrate an understanding of the product development processParticipate in the formation of a functioning project teamEvaluate the suitability of concepts against user needs and risk criteriaSelect appropriate prototyping techniques to realise a chosen design conceptReport using a variety of media on the project's progress and outcomes"," This modules will cover the following topics:Transferable skills, including: Running a meeting, Presentation skills, Technical report writing, Poster design, Worker types and building a professional profileEngineering design process, including: Design process models, Planning, User requirements, Standards, Review and Risk analysisComputer Aided Design (Solidworks)Electrical design, including: Input, outputs and processing, Power, Enclosures, Hazards and Safety ",Mechanics and Electronics 1 - PrerequisiteMolecules and Energetics 1 - Prerequisite,"Ian Radcliffe, Claire Stanley"
Digital Biosignal Processing,"BIOE60006,BIOE70053",Autumn,"In this module you will be introduced to the basic concepts and techniques for representing, transforming, and processing discrete-time signals. The module emphasises practical implementations of the theoretical concepts on biomedical applications.Specifically this module aims to provide you with:An introduction to the fundamental principles for characterising discrete-time signals and systemsAn understanding of methods for analysing and processing discrete-time signalsAn opportunity to discuss and be exposed to relevant representative applications of biosignal processing","Upon successful completion of this module at level 6, &nbsp;you will be able to:&nbsp;Explain common concepts in biosignal processing including the sampling theorem, the effects of aliasing and the relations between the Fourier transform, the discrete-time Fourier transform, and the z-transformExplain the relations between second order statistics and power spectral density (PSD) of discrete-time random signalsDescribe the relations between sampling and periodicity in time and frequency domainEmploy the concept of a random signal to characterise experimental signals&nbsp;Characterise linear time-invariant discrete-time systems with transfer functionsApply basic design rules for FIR\/IIR filtersCharacterise a discrete-time random signal with second-order statistics and power spectral densityCritically apply appropriate methods to analyse experimental and discrete-time biomedical signalsUpon successful completion of this module you will be able to:Explain and critique the application of common concepts in biosignal processing including the sampling theorem, the effects of aliasing and the relations between the Fourier transform, the discrete-time Fourier transform, and the z-transformAnalyse the relations between second order statistics and power spectral density (PSD) of discrete-time random signalsRelate the concepts of sampling and periodicity in time and frequency domainsEmploy the concept of a random signal to characterize experimental signalsCharacterize linear time-invariant discrete-time systems with transfer functionsCritically select and apply basic design rules for FIR\/IIR filtersCharacterize a discrete-time random signal with second-order statistics and power spectral densityCritically apply appropriate methods to analyse experimental and discrete-time biomedical signals"," In this module you will cover the following topics:Sampling of continuous-time signals - From continuous-time signals to discrete-time signals, Nyquist theorem;Discrete-time signals and systems - Definition of discrete-time signals and systems, LTI discrete-time systems, convolution in discrete-time domain;Discrete-time Fourier transform and DFT - Discrete-time Fourier transform and discrete Fourier transform, relations between continuous frequency and discrete frequency;Z-transform - z-plane and relations between Fourier series, Fourier transform, Laplace transform, discrete-time Fourier transform, discrete Fourier transform (DFT), and z-transform;FIR\/IIR filters - Basic notions on FIR and IIR filter characterization and design;Discrete-time random signals - Introduction to random processes in the discrete-time domain and their characterization with second-order statistics;Power spectral density (PSD) of discrete-time random signals - Relation between auto-correlation function and PSD, spectrogram and correlogram;Estimation of PSD - Estimates of PSD, bias and variance of the estimate, Welch periodogram;Filtering discrete-time random signals - PSD of random processes filtered by LTI systems ","Signals and Control - PrerequisiteSignals and Control Basics of complex numbers (canonical form; polar form; conjugation; modulus) Fourier transform of continuous time signals Laplace transform Convolution Probability density function of random variables, joint probability, expectation operator Matlab programming",Dario Farina
Effective communication skills,BIOE70069,Autumn,"The aim of this module is to provide you essential core skills to communicate your business ideas effectively in a variety of media from traditional outlets such as broadcasting and newspapers to Tiktok and Twitter\/X. &nbsp;You will learn about the characteristics of different audiences including angel investors, venture capital and grant-funding bodies, government and regulatory bodies, and the general public. &nbsp;Topics include effective writing and speaking, the principles of visual presentation and of selling. Key ideas include the structuring of written and oral presentation, communication with a\/v, and stage skills.","Upon successful completion of this module you will be able to:Discriminate between different audiences, analyse their needs and formulate a suitable approach.Produce clearly worded, well-structured written communications.Critically evaluate effective scientific and business communication.Integrate oral, written and social media into your business strategy.Communicate effectively on your biomedical engineering project in oral and video formats using skills including editing of audiovisual materials."," Key characteristics of different target audiences.Effective written communications.Key concepts in the presentation of visual information.The principles of selling.An overview of social media and its role in business promotion.Stage skills, speaking clearly and effectively in English and dealing with questions.Introduction to video design and editing. ",N/A,Daniel Green
Electronics and Electromagnetics 2,BIOE50003,Spring,"The aims of this module are:To introduce you to the basic concepts and physical laws of electrostatics and magnetostatics.To demonstrate to you the application of transistor circuits, electrostatics, magnetostatics and electrodynamics to basic physical and engineering problems.To give you experience working with simple electronics circuits and DC ORCAD\/SPICE simulation of simple transistor topologies.","Upon successful completion of this module, you will be able to:Use and apply the concepts of electric potential difference, electric potential energy, electric and magnetic flux, capacitance, (self)inductance and mutual inductance.Solve simple electrostatic and magnetostatic problems by direct application of the aforementioned concepts and laws.Analyse the behaviour of charged particles within an electric and\/or magnetic field both qualitatively and quantitatively.Explain Electrodynamic behaviour from a wave perspective.Explain the significance and limitations of monolithic integration for bioengineering and engineering in general.Explain the operating principles, limitations and design trade-offs for BJT, MOS DC, small-signal-AC operation current mirrors and references.Design a range of electronics circuits for single-stage amplification, and robust distribution of current, and provide temperature-insensitive voltage and current references using appropriate engineering software packages such as SPICEApply principles from this module and from the year 1 module to solve simple BJT or MOS DC transistor problems"," Electromagnetics:&nbsp;Electrostatics: force between point charges, electric field, flux, flux density, Gauss`s Law, electrostatic potential, capacitance, the energy of an electrostatic system;&nbsp;Magnetostatics: magnetic field, Lorentz force, Laplace force, magnetic flux density, Biot-savart Law, magnetic field intensity, Ampere`s circuital Law, inductance, Faraday's Law, energy in a static magnetic field, mutual inductance, the motion of charged particles within electric and magnetic fields,ElectronicsElectronics: Integrated Technology: historic milestones; lithography; passive components; BJT technology; MOSFET technology; BiCMOS technology; state-of-the-art bioengineering examples.The BJT: structure and operation; small-signal equivalent model;The MOSFET: structure and operation; small-signal equivalent model;Basic IC building blocks: current mirrors; voltage and current references (VT-based, VBE-based and Bandgap);Single-stage Amplifiers: common-emitter amplifier; DC and AC load lines for BJT and MOS-based amplifiers; the importance of the selection of operating point for undistorted amplification ",Mechanics and Electronics 1 - PrerequisiteAbility to construct and solve systems of linear algebraic equations.,"Juan Alvaro Gallego, Martin Holloway"
Engineering in Cancer Therapy,BIOE70075,Spring,"In this module, you will develop an understanding of how the effects of ionising and non-ionising radiation on the human body can be used to treat cancer, and of the technology and processes utilised to optimise its effectiveness.","Upon successful completion of this module, you will be able to:Evaluate the ionising and non-ionising radiation modalities and their application in the treatment of cancer.Analyse how these modalities interact with tissue and cells and how they can be manipulated to preferentially kill cancer cells while minimising normal tissue complications; including their implementation in a clinical setting.Analyse what equipment is needed, how it is used and its limitations.Apply the methods required to calculate dose and radiation effects applicable in a therapeutic setting.Critically apply your knowledge of radiation physics to understand basic radiobiology and interpret relevant case studies.Justify radiation therapy safety standards and associated shielding\/protection requirements with reference to the underpinning science.Explain the principles and key technologies determining the performance of therapeutic modalities, and their associated verification requirements, and apply that knowledge in appraising the choice of technical system in different clinical situations.Appraise the choice of technical system in different clinical situations drawing on a knowledge of the principles and key technologies determining the performance of therapeutic modalities, and their associated verification requirements"," In this module you will cover the following topics:Radiobiology for ionising and non-ionising radiation, radiation protection (including stochastic and non-stochastic\/deterministic effects, radiation therapy safety standards and associated shielding\/protection requirements), radiotherapy equipment for basic treatment delivery (inc. linac use for x-ray &amp; electron therapy), radiotherapy equipment for advanced treatment techniques (inc. multi-leaf collimator, intensity modulated RT, FFF, VMAT), measurement of dose &amp; calibration of equipment (inc. Bragg-Gray cavity theory, CoP).Fundamentals of treatment planning (calculating dose in the patient), conforming the dose to the target (forward and inverse planning), image guidance and treatment verification (IGRT technology, patient specific verification (PSV), in-vivo dose monitoring, motion control: gating and compression methods).Brachytherapy, protons &amp; heavy ion therapy, adaptive planning (auto-contouring\/plan of the day), AI applications, Clinical Trials (current inc. personalised RT).Non-ionising therapy, HIFU, hyperthermia, RF ablation, Photodynamic therapy. ",Principles of Biomedical Imaging - Prerequisite,Richard Kitney
"Financial Forecasting, Deal Structuring and Negotiations",BIOE70068,Spring,"This module will provide an overview of the core skills and key concepts required to create a business plan, start and and run a technology business in medical devices. You will develop a critical understanding of fundriasing and financial planning, contracts and law, and business negotiation. You will develop these skills through lectures, case studies and practical workshops.","Upon successful completion of this module, you will be able to:Critically evaluate the central role of financial planning in business.Draft a financial (cashflow) forecast, relate it to profit and loss and balance sheets, and &nbsp;present these to potential investors and grant funders.Give a detailed account of the roles of key professionals in medical technology business.Read and evaluate all the types of contracts likely to be used, and describe the role of lawyers in drafting and negotiations.Identify, interpret and evaluate the variables in the BVCA model term sheet for a Series A term sheet, and prepare a negotiation strategy based on that term sheet.Critically evaluate different types of business deals and describe their functions.Apply professional skills and principles in the practice of negotiation with a focus on negotiating investments."," All startup companies need financing from investors, grants or both. This module will cover core aspects of financial and legal aspects of medical device business and technology transfer and how they relate to the process of bringing cash into the business. Topics include the central role of budgeting, how to prepare a financial forecasts for business plans and grant proposals and understand their central role in securing finance. You will &nbsp;learn the process of developing cashflow forecasts, profit and loss accounts and balance sheets and develop the practical skill of being able to prepare reliable forecasts. &nbsp;You will understand the roles of accountants, chief financial officers and auditors and the basics of GAAP. &nbsp;There will be an introduction to contracts and law, types deals including licensing, assignment investment, employment, subcontracting, supply, MTAs and NDAs, and the practice of negotiation.&nbsp; ",N/A,Daniel Green
Fluid and Solid Mechanics 2,BIOE50004,"Autumn,Spring","This module will introduce the principles of fluid and solid mechanics.It aims to:&nbsp;Introduce you to the basic concepts of structural mechanics, showing the relevance of these concepts in design and risk analysis, and develop your analytical skills in stress analysis.Introduce you to key concepts and equations associated with the study of fluid mechanics and develop your ability to apply these concepts to fluids problems framed in a biomedical context.","At the end of this module you will be able to:Recall, list, and define terms used in engineering properties of materials.Recall, list, and define terms in common solid mechanics and fluid mechanics equationsApply solid and fluid mechanics principles and equations appropriately to solve well-posed, constrained problems.Determine the deformations of beams, rods and shafts with arbitrary X-section under general loadings which are statically determinate or indeterminateDescribe the mechanics of fluid flows using the Reynolds transport theorem and differential equations of fluid motionInterpret the results of a calculation in terms of their physical significance and be able to discuss relevant assumptions and limitations of numerical modelsDetermine Young's modulus and stress concentration factors using experimental methodsAnalyse statically determinate and indeterminate force systems, deformable bodies and generalised two-dimensional stress and strain states in a solid &nbsp;"," This module will cover the following topics:Solids:Revision of Newtonian mechanics \u2013 rigid body analysis, free body diagrams Very brief revision of engineering properties of materials, the introduction of time-dependent propertiesPin jointed structuresApplied forces and deformationsInternal forces and momentsStress and strainGeneral procedures for solving problems that include deformationsSelection and use of engineering materialsStatically determinate and indeterminate systemsEquilibrium equations for 2D stress systems \u2013 2D strain compatibility equationsMulti-axial deformations and stress analysis \u2013 Poisson\u2019s ratio, biaxial stress, hydrostatic stress, triaxial stress, thermal strain, stress transformationsDerivation and use of principal stressesKnowledge and use of principal strainsFailure theories, safety, fatigue, stress concentrationUniformly loaded thin shells \u2013 pressurised thin-walled cylinder; pressurised thin-walled sphere, rotating rings; resisted thermal expansionBeam analysis \u2013 shear force and bending moments. Derivation and use of direct stresses in beams. Knowledge and use of shear stresses in beams. Derivation and use of second moment of area. Derivation and use of beam deflection.Unsymmetrical bending. Knowledge and use of combined bending and axial load.Torsion. Derivation and use of the torsion equation.Combined bending, torsion and axial loading. Use of principle of superposition. Buckling and eccentric loading in columnsFluids:The continuum approximation, Eulerian and Lagrangian description of the fluid, definitions of fundamental kinematic and thermodynamic fluid properties, state relations for gasesForce due to the pressure acting on a surface, hydrostatic pressure, gauge pressure, buoyancy force on a submerged or floating body (Archimedes' laws), stability of submerged or floating body, the rigid-body motion of fluidControl volumes, statement of the Reynolds Transport Theorem, and its application to the conservation of mass and linear momentum. Non-inertial reference frames. Awareness of conservation of angular momentum and energy. The Bernouilli equationThe differential equations of fluid flow: the continuity equation, and the momentum equation for a Newtonian fluid. Examples of exact solutions of equations. ",Bioengineering Science 1 - PrerequisiteMechanics and Electronics 1 - PrerequisiteBiomolecular Engineering I (or basic Engineering Properties of Materials course) Mechanics I (or basic statics course),"Darryl Overby, Nicolas Newell, Maria Parkes"
Foundations of Biomedical Engineering,BIOE40011,Autumn,"This module will provide basic principles of mathematics, computational thinking, basic electrical engineering, mechanical engineering and physics required for other modules in the Biomedical technology ventures programme.","On completion of this module, you will be able to:Recall the terms used to describe engineering properties of materials and be able to use these terms to physically and numerically determine the response of engineering materials to applied loads.Apply the appropriate physical principles required to solve a small range of well-posed, constrained mechanics and electronics problemsUse mathematical equations, including first and second order differential equations, to model physical systems and solve well-posed, constrained mechanics and electronics problemsApply the basic principles and concepts of fluid mechanics to solve simple fluid-flow problems.Write simple programming code for a small range of purposes including controlling microprocesses and solving mathematical equations computationallyAnalyse and predict the performance and functions of some simple digital systems and electrical circuits.Design solutions for a modest range of digital and electronic problems with some guidance"," Fundamentals of mechanics, Behaviour of materials, Key electrical engineering concepts, Key mathematics for engineering&nbsp; ",N/A,"Firat Guder, Nicolas Newell"
Foundations of Synthetic Biology,BIOE60012,Spring,"The module aim is to teach the basic foundations for synthetic biology by learning how to engineer gene expression in E.coli. This will teach students to build DNA parts into programs that get cells to perform basic tasks in sensing, logic and biosynthesis. Students who take this course will be able to take ADVANCED SYNTHETIC BIOLOGY in their 4th year - a joint course with Life Science students focused on a mini-iGEM project.",Upon successful completion of this module you will be able to:Design simple biological devices and pathways&nbsp;Design and make DNA programs&nbsp;Manipulate E.coli and perform DNA assembly in a wet labDescribe the principles of biological synthesis&nbsp;Explain the parts and modularity in synthetic biologyCritique examples of synthetic biology applications," This course is designed to introduce the foundations for experimental synthetic biology to Biomolecular and Biomedical Engineers. It is focused on understanding how to design, build and test gene circuits and metabolic pathways in E.coli using genetic parts and modular DNA assembly. It consists of lectures designed to enable the students to understand how to build E.coli synthetic biology in the lab and how DNA design changes affect perform. Topics covered in lectures include DNA, Gene expression, genetic engineering and Engineering regulatory logic. ",Medical and Biochemical Science 1 - PrerequisiteMedical and Biological Science 1  - Prerequisite,Tom Ellis
Frontiers in Bioengineering Research,BIOE70045,Autumn,"The aim of this module is to introduce you to the breadth and variety of research in Bioengineering and to develop your presentation skills, writing skills and critical analysis skills.","Upon successful completion of this module, you will be able to:Critically appraise the quality and rigour of a piece of researchAssess the relevance and applicability of others' research in the context of your own research projectEvaluate the quality of a presentation and its deliveryPresent clearly and concisely on a research-related topicWrite clearly and concisely on a research-related topicEffectively conduct a broad literature search, compare the outputs found, and judge which is most relevant and worthy of discussion"," Weekly research seminars, covering a broad range of topics in Bioengineering will be supplemented by practical training elements.Weekly journal club in which students present and discuss bioengineering research papers. ",N/A,Amanda Foust
Frontiers in Cancer Technology Research,BIOE70050,Autumn,"The aim of this module is to introduce you to the breadth and variety of research in Bioengineering and to develop your presentation skills, writing skills and critical analysis skills.","Upon successful completion of this module, you will be able to:Critically appraise the quality and rigour of a piece of researchAssess the relevance and applicability of others' research in the context of your own research projectEvaluate the quality of a presentation and its deliveryPresent clearly and concisely on a research-related topicWrite clearly and concisely on a research-related topicEffectively conduct a broad literature search, compare the outputs found, and judge which is most relevant and worthy of discussion"," Weekly research seminars, covering a broad range of topics in Bioengineering will be supplemented by practical training elements.Weekly journal club in which students present and discuss bioengineering research papers. ",N/A,Sam Au
Frontiers in Neurotechnology Research,BIOE70038,Autumn,"The aim of this module is to introduce you to the breadth and variety of research in Bioengineering and to develop your presentation skills, writing skills and critical analysis skills.","Upon successful completion of this module, you will be able to:Critically appraise the quality and rigour of a piece of researchAssess the relevance and applicability of others' research in the context of your own research projectEvaluate the quality of a presentation and its deliveryPresent clearly and concisely on a research-related topicWrite clearly and concisely on a research-related topicEffectively conduct a broad literature search, compare the outputs found, and judge which is most relevant and worthy of discussion"," Weekly research seminars, covering a broad range of topics in Bioengineering will be supplemented by practical training elements.Weekly journal club in which students present and discuss bioengineering research papers. ",N/A,Holger Krapp
Fundamentals of Biomedical Engineering,"BIOE60017,BIOE70055",Autumn,"In this module you will cover the basic principles of mathematics, computational thinking, electrical engineering, mechanical engineering and physics required to allow you to successfully complete the technical modules on your Bioengineering programme.","On completion of this module you will be able to:Define the terms used to describe engineering properties of materials and be able to use these terms to describe physically and numerically the response of engineering materials to applied loadsIdentify and apply the appropriate physical principles required to solve a range of mechanics and electronics problemsUse mathematical equations, including first and second order differential equations to model physical systems and solve mechanics and electronics problemsApply the principles and concepts of fluid mechanics, including the conservation of mass and the Bernoulli equation, to solve simple fluid-flow problemsWrite programming code for a range of purposes including controlling microprocesses and solving mathematical equations computationallyAnalyse and predict the performance and functions of simple digital systems and electrical circuits.Design solutions for a modest range of digital and electronic problemsCritically reflect on your own understanding and direct independent learning&nbsp;", Fundamentals of mechanicsBehaviour of materialsKey electrical engineering conceptsKey mathematics for engineering ,"Basics in algebra, matrix &amp; vector calculus, logarithms, functions, differentiation, integration, complex numbers","Firat Guder, Nicolas Newell"
Human Centred Design of Assistive and Rehabilitation Devices,BIOE60007,Spring,"The ageing population and the wish to improve life quality, as well as the economic pressure to work longer, require the development of intuitive and efficient assistive and rehabilitation devices. Rehabilitation technology illustrates the paradigm for emergent systems to work with humans. In this course, you will learn to design rehabilitation systems and assistive devices, integrating mechatronics, human factors and computer games. You will also learn how to assess current systems against the principles of human-centred design.","Upon successful completion of this module, you will be able to:Design simple mechatronics systems and therapeutic computer gamesAppraise design solutions according to the principles of human-centred designDiscuss current and emerging challenges in the fields of assisted living and rehabilitationEvaluate a range of rehabilitation technologiesDesign a prototype system to solve a rehabilitation problem using a range of technologies including electronics, real-time control, signal processing and applied computer graphicsDemonstrate professional engineering practice including effective presentation and teamwork"," In this module, you will cover the following topics:Common areas in which rehabilitation and assistive technologies are used including Orthopaedics, Stroke, Epilepsy, Cerebral Palsy and AgingDesign practice and principles including Engineering Design, Creativity and Product DesignRehabilitation technologyGaming and software as rehabilitation toolsDesign and working of the ReHandFun module ",N/A,Etienne Burdet
Human Neuromechanical Control and Learning,BIOE70016,Spring,"In this course you will examine the control of human movement from the perspective of both adaptation of the neural control system and adaptation of properties of the mechanical plant, incorporating approaches from physiology, engineering and computational neuroscience.&nbsp;To develop your understanding, you will examine published literature in the area and examine how results from experiments have shaped the models we use today.&nbsp;You will also be introduced to several applications of modelling, from flexible control in robotics to neurorehabilitation.","Upon successful completion of this module, you will be able to:Explain the neuromechanics of human motor control and learning.Apply mathematical modelling to the processes associated with human motor control and learning.Evaluate models of human motor control and biological dynamic systems in general.Formulate models to describe the dynamics and control of biological systems."," In this module, you will cover the following topics:Mechanics and controlSingle jointNeuromechanicsMulti-joint multi-muscle kinematicsMulti-joint dynamics and controlMotor learning and memoryMotor learning under unstable conditionsMotion planning and online controlIntegration and Control of Sensory FeedbackNeurorehabilitation ","The course is for students with a background in computer science, mechanical, electrical and bioengineering, as well as psychology, kinesiology, rehabilitation therapy, neurology, and physics, who are interested in understanding the algorithms of human motor control. The material is self-contained so that it can be understood by these distinct communities with their different perspectives and knowledge. Linear differential equations, linear algebra.",Etienne Burdet
iBSc Journal Club,BIOE60028,Autumn,"In this module you will read and discuss key journal articles relevant to the course. You will relate your reading and research to the group projects which you will undertake as part of the course, e.g. exploring clinical aspects of your group project through a literature review, prior to working on developing an engineering solution to the problem.","Upon successful completion of this module, you will be able to:Critically review scientific articles around a theme and in a variety of formatsDescribe and explain the features of a well-written scientific paperComment on the structure and writing style of high-impact journal articlesExtract the important information from journal articles and present this in a summary relevant for the intended audiencePresent scientific results graphically or diagrammaticallyConstruct and deliver an oral presentationWork effectively in a teamIdentify and discuss the strengths and weaknesses of a paper", Study groups in this module will cover how to write and review a manuscript. &nbsp;Example presentations will also be given on \u2018good\u2019 and \u2018bad\u2019 papers. The remaining sessions will comprise presentations of scientific papers. ,N/A,Jun Ishihara
Image Processing,"BIOE60008,BIOE70036",Spring,"In this module you will:be introduced to digital image processing and relevant methods for image analysisdevelop an appreciation of aspects of computation in interpreting or \u201cparsing\u201d imagesbe introduced to some of the biomedical, clinical and research applications of image processing and computer vision","Upon successful completion of this module at level 6, you will be able to:Describe the key concepts in image analysis including image types, representations &amp; basic operations &amp; transformationsDiscuss common topics relevant to computer vision including potential applications of image processing and computer vision (medical &amp; non-medical) and the relationships between mammalian visual systems and standard computational approaches to visionCalculate linear image transforms numericallyApply effectively moment calculations and linear neighbourhood operators to capture information about spatial structureDistinguish where image segmentation is necessary and describe image segmentation approaches and applicationsWrite code for quantitative image processing making use of common image processing tools in Matlab or PythonSystematically identify, label and quantify spatially localised structures using semi-automated methodsUpon successful completion of this module at level 7, you will be able to:Apply the key concepts in image analysis including image types, representations &amp; basic operations &amp; transformations.Evaluate the suitability of image processing and computer vision to potential applications (medical &amp; non-medical).Assess the relationships between mammalian visual systems and standard computational approaches to vision.Calculate linear image transforms numerically.Apply effectively moment calculations and linear neighbourhood operators to capture information about spatial structure.Distinguish where image segmentation is necessary and describe image segmentation approaches and applications.Write code for quantitative image processing making use of common image processing tools in Matlab or PythonApply semi-automated methods to systematically identify, label and quantify spatially localised structures&nbsp;", In this module you will cover the following topics:Basic Concepts: introductory topics and biological visionBinary Images and how these can be processedImage TransformsNeighbourhood OperatorsData Driven ApproachesImage SegmentationImage RegistrationImage Synthesis\/Reconstruction ,"Calculus, derivatives, Linear Algebra. Eigenvalues and eigenvectors of a matrix. Knowledge of random variables would also be useful.","Guang Yang, Anil Bharath"
